username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;sentimento;local
blogdidigalvao;2018-06-02 11:12;0;0;erefeito parnamirim confirma apoio precandidatura deputado augusto coutinho ;;;;1002915945340395520;https://twitter.com/blogdidigalvao/status/1002915945340395520;['positivo'];Não Existe
alessandraxv;2018-05-18 19:19;0;1;estive presente assinatura ordem servico terraplanagem sitio bandeira brejo madre deus lado prefeito hilario paulo viceprefeito josivaldo prefeito santa cruz edson vieira deputado federal augusto coutinho 0shz;;;;997602518426423302;https://twitter.com/alessandraxv/status/997602518426423302;['neutro'];Não Existe
cbnrecife;2018-05-14 09:25;0;1;o deputado federal augusto coutinho solidariedade fala sobre debate camara federal sobre nova lei licitacoes recife;;;#NoAr;996003456166121473;https://twitter.com/cbnrecife/status/996003456166121473;['positivo'];Não Existe
JoseVitti;2018-04-24 12:15;1;6;agradeco deputada federal goias flavia morais relator projeto deputado augusto coutinho presenca debate proveitoso busca novo marco legal licitacoes brasil 7tw;;;;988798641468043270;https://twitter.com/JoseVitti/status/988798641468043270;['positivo'];Não Existe
rbezerrademelo;2018-04-06 12:56;0;0;sem partido desde eulso pdt deputado assina ficha partido presidido estado augusto coutinho cadoca filia solidariedade icafolhapolitica20180406nws644077459politica2193cadocafiliasolidariedadeaspx ;;;;982285827186286593;https://twitter.com/rbezerrademelo/status/982285827186286593;['negativo'];Não Existe
pbpeisf;2018-04-03 14:23;0;0;deputado federal augusto coutinho destina r200 mil saude itambe pbpe http;;;;981220673052971008;https://twitter.com/pbpeisf/status/981220673052971008;['negativo'];Não Existe
FolhaMilitar;2018-03-25 16:13;0;0;comandante aeronautica recebe deputado federal augusto coutinho ;;;;977986740811128835;https://twitter.com/FolhaMilitar/status/977986740811128835;['negativo'];Não Existe
portalfab;2018-03-23 07:44;3;58;tenentebrigadeiro rossato recebe deputado federal augusto coutinho ;;;#ComandanteFAB;977133961859293184;https://twitter.com/portalfab/status/977133961859293184;['negativo'];Não Existe
LucrecioOficial;2018-03-08 21:04;0;0;estamos busca melhorias cidade agradecemos deputado augusto coutinho sempre ;;;;971899391249403905;https://twitter.com/LucrecioOficial/status/971899391249403905;['positivo'];Não Existe
bancada77;2018-02-28 16:26;0;0;o deputado augusto coutinho participou debate tv camara sobre projeto lei 702012 torna ;;;;968930342567596032;https://twitter.com/bancada77/status/968930342567596032;['negativo'];Não Existe
cbnrecife;2018-02-21 09:25;0;4;mario neto conversa deputado augusto coutinho sd sobre nova lei adocao acompanhe 7fm;;;#NoAr;966287713807814657;https://twitter.com/cbnrecife/status/966287713807814657;['positivo'];Não Existe
77solidariedade;2018-02-20 22:38;0;0;o congresso derrubou nesta terca vetos governo feito nova lei adocao autoria deputado augusto coutinho saiba ficou lei aqui ;;@augustocmelo;;966124832361451521;https://twitter.com/77solidariedade/status/966124832361451521;['negativo'];Não Existe
EscadaNews;2018-02-10 10:39;0;0;secretarios deputado augusto coutinho buscam recursos escada ;;;;962305098784432128;https://twitter.com/EscadaNews/status/962305098784432128;['positivo'];Não Existe
EscadaNews;2018-02-10 10:39;0;0;secretarios deputado augusto coutinho buscam recursos escada ;;;;962305094522990593;https://twitter.com/EscadaNews/status/962305094522990593;['positivo'];Não Existe
EscadaNews;2018-02-10 10:39;0;0;secretarios deputado augusto coutinho buscam recursos escada ;;;;962305068048396289;https://twitter.com/EscadaNews/status/962305068048396289;['positivo'];Não Existe
sanchilisoficia;2018-02-10 10:39;0;0;secretarios deputado augusto coutinho buscam recursos escada ontem 0602 secretario desenvolvimento institucional dr klaus secretario educacao cultura esportes lazer professor john ;;;;962305061555597312;https://twitter.com/sanchilisoficia/status/962305061555597312;['positivo'];Não Existe
pref_olinda;2018-02-04 15:49;3;18;as virgens bairro novo chegaram tudo ruas tao desfilando fazendo alegria montao gente o prefeito professor lupercio vice marcio botelho deputado federal augusto coutinho vereador recife rodrigo coutinho acompanham evento 4r9w4v;;;;960208785150304256;https://twitter.com/pref_olinda/status/960208785150304256;['positivo'];Não Existe
marcosalmeidape;2018-02-02 08:05;0;0;sindicalista antonio nestor confirma apoio precandidatura deputado federal augusto coutinho  dicalistaantonionestorconfirmaapoioprecandidaturadeputadofederalaugustocoutinho 2tylxf;;;;959367231674175488;https://twitter.com/marcosalmeidape/status/959367231674175488;['positivo'];Não Existe
blogdidigalvao;2018-02-02 00:41;0;0;sindicalista antonio nestor confirma apoio precandidatura deputado federal augusto coutinho ;;@Shareaholic;;959255353144815617;https://twitter.com/blogdidigalvao/status/959255353144815617;['positivo'];Não Existe
WHITNEYPEREIRA;2018-01-31 14:51;0;0;jatoba prefeita goreti varjao consegue r milhoes emendas atraves deputado federal augusto coutinho ;;;;958744599908048896;https://twitter.com/WHITNEYPEREIRA/status/958744599908048896;['negativo'];Não Existe
WHITNEYPEREIRA;2018-01-31 14:47;0;0;em passagem sertao pernambucano deputado federal augusto coutinho reuniuprefeita goreti varjao ;;;;958743673730228225;https://twitter.com/WHITNEYPEREIRA/status/958743673730228225;['positivo'];Não Existe
blogdoelielson;2018-01-26 01:05;0;0;deputado augusto coutinho participa entrega titulos definitivos terra barreiros blog ;;;;956724676864114688;https://twitter.com/blogdoelielson/status/956724676864114688;['negativo'];Não Existe
bancada77;2018-01-02 19:11;0;0;destacamos atuacao deputado augusto coutinho aprovacao projeto sobre adocao sancionado ;;;;948300638995304449;https://twitter.com/bancada77/status/948300638995304449;['positivo'];Não Existe
blogdoelielson;2018-01-02 18:49;0;0;o deputado federal presidente estadual solidariedade augusto coutinho destacou ;;;#5anosdoBlog;948295243841011719;https://twitter.com/blogdoelielson/status/948295243841011719;['positivo'];Não Existe
Barretorec;2017-12-28 18:46;0;0;s vezes acho deputado augusto coutinho sd disputa lupercio realmente manda cidade olinda;;;;946482525865762816;https://twitter.com/Barretorec/status/946482525865762816;['negativo'];Não Existe
carlosbritto1;2017-12-19 19:34;1;0;o deputado federal augusto coutinho sdpe admitiu blog ve bons olhos provavel nova ;;;;943233193850814464;https://twitter.com/carlosbritto1/status/943233193850814464;['negativo'];Não Existe
carlosbritto1;2017-12-19 19:34;1;0;deputado augusto coutinho adimte reaproximacao psb pt pernambuco deixara carlosbrittodeputadoaugus tocoutinhoadimtereaproximacaopsbptpernambucodeixaradesconfortavel 9awjoyq4zr;;;;943233161038913538;https://twitter.com/carlosbritto1/status/943233161038913538;['positivo'];Não Existe
carlosbritto1;2017-12-16 16:10;0;0;quem visitando petrolina dia ontem 15 deputado federal augusto coutinho sd na ;;;;942094694984515585;https://twitter.com/carlosbritto1/status/942094694984515585;['negativo'];Não Existe
carlosbritto1;2017-12-16 16:10;0;0;deputado augusto coutinho destaca avancos incra petrolina pouco tempo atual carlosbrittodeputadoaugus tocoutinhodestacaavancosincrapetrolinapoucotempoatualsuperintendentetrabalhoefetivo 1upd1;;;;942094656510267392;https://twitter.com/carlosbritto1/status/942094656510267392;['positivo'];Não Existe
alberto_feitosa;2017-12-15 19:55;0;1;boa noticia atendendo pleito deputado federal augusto coutinho spu autorizou aluguel imovel nova agencia inss petrolandia saiba andiaaluguelimovelhtmlm1 ;;;;941788735271731200;https://twitter.com/alberto_feitosa/status/941788735271731200;['positivo'];Não Existe
1950bezerra;2017-11-16 17:55;0;0;deputado federal roberto magalhaes deputado federal augusto coutinho joao ciardullo florentino yes bank bompreco  ;;;;931249368392454144;https://twitter.com/1950bezerra/status/931249368392454144;['positivo'];Não Existe
bancada77;2017-11-01 19:18;0;0;a proposta deputado augusto coutinho muda regras adocao ;;;#Ado #Ado #Ado;925834574642507776;https://twitter.com/bancada77/status/925834574642507776;['negativo'];Não Existe
cbnrecife;2017-11-01 15:20;1;0;aldo vilela conversa deputado federal augusto coutinho sdpe;;;#NoAr;925774639489585154;https://twitter.com/cbnrecife/status/925774639489585154;['negativo'];Não Existe
PPrefeitura;2017-10-31 18:37;0;0;estamos pagina quero lembrar juntos nessa caminhada 5yehusbq33;;;#DeputadoAugustoCoutinho;925461648009285637;https://twitter.com/PPrefeitura/status/925461648009285637;['positivo'];Não Existe
elton_victor;2017-10-26 19:31;0;0;no gabinete deputado federal augusto coutinho erinaldo presidente procon pernambuco ;;;;923663414081110016;https://twitter.com/elton_victor/status/923663414081110016;['negativo'];Não Existe
elton_victor;2017-10-25 13:52;0;0;marcos patriota prefeito jupi augusto coutinho deputado federal paulo roberto secretario ;;;;923215789011996675;https://twitter.com/elton_victor/status/923215789011996675;['positivo'];Não Existe
elton_victor;2017-10-23 21:17;0;0;o deputado federal augusto coutinho secretarios prefeitura olinda integrados  ;;;;922603023821656064;https://twitter.com/elton_victor/status/922603023821656064;['negativo'];Não Existe
bancada77;2017-10-09 13:34;0;0;lembra pl 2016 deputado augusto coutinho aprovado recentemente plenario camara ;;;;917428052409442304;https://twitter.com/bancada77/status/917428052409442304;['positivo'];Não Existe
